	CL-116	CL-117	CL-118	CL-119	CL-125-12mo-2	CL-127-12mo-2	CL-127-BL-2	CL-128	CL-130	CL-131	CL-134	CL-136	CL-137	CL-139-12mo	CL-139-6mo-2	CL-139-BL-2	CL-141-12mo	CL-141-6mo	CL-141-BL-R2	CL-142-S	CL-144-2	CL-146-12mo	CL-146-6mo	CL-146-BL	CL-147	CL-148-12m-R2	CL-148-6mo-2	CL-148-BL	CL-150	CL-151-12mo	CL-151-BL-R2	CL-152-12mo	CL-152-BL	CL-154-12mo	CL-154-BL	CL-160	CL-161-2	CL-165	CL-166-12mo	CL-166-BL	CL-167	CL-169-12mo	CL-169-6mo-2	CL-169-BL	CL-170	CL-171-12mo	CL-171-6mo	CL-171-BL	CL-172	CL-173-2	CL-175	CL-176-6mo-R2	CL-176-9mo	CL-176-BL-R3	CL-177	HLD-100	HLD-102	HLD-103-2	HLD-104	HLD-111-2	HLD-112	HLD-22-2	HLD-23	HLD-24	HLD-25	HLD-28	HLD-31	HLD-34	HLD-35	HLD-38	HLD-39-2	HLD-43	HLD-44-2	HLD-45	HLD-47	HLD-50-2	HLD-51	HLD-53	HLD-55	HLD-64	HLD-69	HLD-72-2	HLD-74	HLD-77	HLD-80	HLD-84	HLD-85	HLD-86-2	HLD-87	HLD-94	HLD-96-2	HLD-99
16	208	561	537	2528	107	2808	567	1100	684	131	482	659	1114	179	1560	256	456	133	2759	100	53	110	261	126	923	1177	727	1853	1555	1351	545	107	213	418	1384	251	198	829	974	859	535	285	205	138	177	937	712	730	85	3871	83	747	1905	157	242	1195	279	138	582	3001	2790	1849	365	158	767	111	296	418	1155	383	2382	433	625	6137	2824	163	578	3040	6446	2185	2327	283	1003	2898	950	1578	2602	357	406	138	575	181
17	25	13	14	989	14	92	35	14	5	14	24	24	12	43	1668	23	17	18	96	10	3	38	35	6	901	22	5	42	27	792	161	5	4	273	1092	24	13	17	26	14	80	28	0	6	8	12	16	25	123	2042	5	12	12	7	16	22	0	20	8	15	42	224	2	16	12	12	29	99	1193	18	1062	9	11	12	16	10	5	19	11	63	36	2	6	34	4	24	28	11	22	31	11	28
18	505	1498	691	11058	384	973	7471	1058	619	1498	4830	857	732	1070	3525	2865	912	826	979	97	177	37140	40124	31998	1785	601	1577	584	671	6005	898	1366	370	291	263	4598	609	472	418	575	10416	2000	219	825	1139	1048	484	1298	5884	32549	1010	395	428	10151	863	12049	1464	409	405	836	6309	674	150	457	607	1057	29547	197	18092	2026	357	1823	1102	906	558	916	451	613	474	385	1316	327	588	10658	190	12052	1334	1518	413	1506	208	1423
19	9	8	6	2	0	5	9	5	1	72	4	3	14	1	1	4	1	4	2	0	5	2620	1236	0	12	1	0	2	3	3	0	3	5	10	2	2	4	6	5	12	7	8	2	0	11	5	6	12	3	7	0	5	3	21	7	4	2	1	6	4	16	8	4	3	3	6	67	0	6	5	2	0	9	24	4	13	6	0	3	3	4	1	1	3	3	8	7	9	3	12	1	24
20	68	103	130	180	13	189	502	6315	44	851	111	81	111	38	46	29	77	127	73	54	51	12308	3510	647	942	403	1078	3397	64	36	45	98	219	500	1557	148	76	79	42	88	72	95	22	26	110	113	65	133	252	3845	45	39	69	119	112	42	75	45	44	380	156	62	59	57	84	82	310	47	172	33	1238	118	1768	101	107	211	95	77	150	96	100	30	242	84	3704	108	116	82	65	90	2444	174
21	781	57	50	3319	17	68	136	116	22	108	95	2631	56	5	36	36	3	31	12	40	38	5949	50	8	361	3779	22	40	35	1543	1173	22	14	96	293	26	32	14	3	42	195	81	10	7	25	69	20	33	52	32	131	17	17	48	29	21	115	8	65	31	72	61	33	25	14	38	105	77	78	10	557	2	83	31	34	43	13	30	75	64	63	19	4376	31	24	3589	29	54	33	58	24	55
22	2782	2298	6528	5732	2447	10094	6572	2714	1085	1415	5338	6520	4897	2704	6354	7985	1132	1443	5668	7343	3541	1136	1023	974	6029	3091	2434	3132	1875	1665	1101	2281	2380	4593	4475	3819	6982	3320	3208	2599	1202	4976	3068	2090	1630	5034	2357	4703	1501	4687	1424	1070	1815	4545	3258	7093	4102	1492	11332	2949	8887	6851	1577	3872	4655	2140	3153	11629	5638	3176	6289	3309	1817	1464	3493	2243	4138	7325	10154	6249	6145	5233	3040	5825	2983	9603	3247	2606	7212	10107	2752	9715
23	35896	15899	19364	33298	9309	29138	26304	37932	19338	9974	32414	32830	22290	12157	30458	19926	17712	30579	28549	34042	20975	8372	11000	7044	27878	19872	21766	32506	10255	12757	14188	12885	12164	19685	13332	10139	12728	18153	33791	26141	5213	35018	30717	11249	11715	27174	14509	16971	10542	17819	8147	14003	12995	20929	22485	24378	26381	13565	22058	27733	25211	27920	15220	20835	20475	17384	19834	26154	43170	15426	24901	20795	8040	9497	14767	24002	23166	37505	29761	24251	25429	23263	17423	21982	11232	34831	24532	15480	25897	16651	12266	27929
24	122	58	568	180	110	122	733	77	92	5690	205	139	90	71	72	106	65	164	101	69	63	1167	3893	3400	161	133	42	118	90	2608	2172	151	137	100	54	142	190	74	90	122	2059	748	58	91	74	134	131	142	8034	145	5524	183	88	366	82	95	60	175	131	156	162	290	127	112	66	648	1420	81	126	4109	163	82	46	160	145	146	151	77	73	100	137	121	26	213	97	79	98	144	87	192	97	156
25	160	614	874	1442	179	3538	1535	430	1368	611	175	211	4287	119	262	188	848	146	691	186	183	5549	1119	364	223	264	124	1087	130	1718	2129	234	185	236	241	327	264	3842	76	131	1841	381	3249	160	277	496	1210	939	3815	545	191	312	574	658	154	613	100	112	712	1132	370	397	687	327	4394	553	507	1277	632	182	375	322	184	269	189	294	631	621	297	4004	293	2005	257	202	2355	1763	722	589	613	179	1714	273
26	10	61	44	128	7	30	21	149	1	14	63	26	73	3	115	22	11	27	55	151	23	1084	109	10	41	4	6	168	12	22	118	6	59	28	21	8	20	20	21	21	8	21	7	1	33	19	49	167	22	132	36	43	21	8	5	11	53	142	30	25	48	52	15	9	63	723	8	37	11	17	33	14	18	1736	7	37	34	64	9	13	23	17	9	6	14	181	26	56	21	72	5	13
27	986	5251	5807	3050	1164	2861	15203	6256	4608	3053	6195	2309	2076	1420	2181	3546	1388	2564	4261	1223	1407	6360	11271	2628	1229	3360	2991	6528	1079	8589	5942	3100	2022	981	1705	7431	1929	2495	6214	4482	852	8017	2313	1780	1372	6447	2411	2847	3211	1645	1509	1904	2041	3721	3224	3266	4997	6025	6198	5194	18381	2851	2727	6622	2061	7139	4988	3646	1251	2142	4256	4983	1120	1440	1939	4790	11545	9030	4944	2978	5704	8450	2566	14120	10666	1086	4496	6151	1300	1170	9275	3664
28	3638	2377	2283	4556	1392	1846	11406	6483	5213	4116	11187	1898	9789	692	1029	566	5598	13835	23253	5089	546	11126	9340	5146	7023	3529	2268	6318	804	1158	745	1829	2729	3904	805	3910	2064	646	5913	12579	625	2012	782	637	1343	4530	2863	3357	10808	5640	5998	2378	4299	7018	1063	18720	3967	708	1617	8338	1275	11483	848	13763	7342	1178	3787	3820	904	8245	2344	2650	752	2810	1755	7753	1668	1748	1696	1580	1125	1544	2106	1536	4747	4815	23554	3213	794	3311	5082	2201
29	1438	3119	6003	8044	2893	6243	6856	9581	3780	3540	8442	2544	9370	5954	8399	16646	2679	6785	6382	2190	4934	1844	3194	3663	4735	6175	5987	8864	2509	5752	5781	3553	6984	3576	5371	2607	4637	4971	1305	1335	2549	11519	8351	4248	4616	10294	6508	5291	5647	9155	4020	2718	3073	4715	2988	5758	5837	17352	6706	7222	8600	6642	10702	14272	9672	9275	5623	4705	10785	3016	8520	9477	2205	4648	2959	10871	5346	16287	6169	5639	1667	11588	5106	7340	2639	8548	5650	2971	13121	1763	3435	6752
30	4792	13642	14995	27601	12043	22054	18211	31175	11022	6668	15523	19065	9062	7048	17042	14994	19495	22757	21817	10240	5657	11077	10740	8558	14731	11067	26277	30753	12782	16608	20763	5312	5126	13795	12584	7472	4044	21279	2931	2176	2931	17940	21576	6937	3876	22513	11871	7774	14480	30736	7681	15727	15941	34089	2925	31868	10284	2562	18321	32423	24615	23738	7823	6756	9149	16037	20047	12161	42006	8341	17680	24871	6390	3086	13840	11810	25825	17441	8030	26392	32164	11956	6320	26094	15688	26111	20314	14006	21802	40501	16086	11164
31	29201	20702	37543	40927	10909	37701	44880	32005	11485	12223	26924	15310	26603	22707	27749	21070	25099	48469	41116	28204	12989	16817	19706	13732	35468	30656	10499	33083	9949	23834	36213	10363	17550	27036	17418	17282	11270	20051	28454	24770	16539	35377	14566	9894	12855	40570	22174	22678	19574	23182	13204	14133	13091	20036	22418	18404	20188	32763	39395	28039	27164	38302	21399	19022	25448	18760	20938	42003	30804	14136	33886	38144	8444	18069	17516	27852	22731	39434	39402	31616	31535	33505	29417	24058	20547	46889	28362	20403	58611	24962	17945	31649
32	58	619	256	441	49	973	1248	845	67	127	702	211	304	206	537	885	106	87	323	79	51	74	96	57	282	549	198	628	212	65	81	93	386	183	274	525	73	265	60	50	59	1735	674	221	102	112	59	85	81	596	101	175	175	417	51	118	581	2104	490	409	446	129	1053	69	392	643	261	2120	648	175	1232	75	59	531	183	338	421	1312	736	715	585	51	551	441	84	373	390	522	905	1386	89	783
33	536	672	1342	1813	3409	1857	1747	570	427	420	2306	584	444	900	1021	465	549	1401	1359	1651	172	1239	2010	1800	2833	494	562	1397	1316	2729	708	498	283	1903	738	811	423	3863	256	302	1074	1238	305	407	452	1047	372	599	2053	2995	363	754	638	3103	1103	617	1255	527	1362	1071	3067	1266	663	613	516	360	2244	609	765	385	1073	932	861	517	7933	628	2972	1000	7076	4260	2371	647	194	2587	3477	1066	1155	925	917	8448	2793	912
34	243	195	337	388	171	393	5978	221	72	296	1091	264	232	72	48	201	1188	702	21754	301	130	1064	494	1539	1050	105	143	766	211	3884	1806	163	208	663	2356	3126	60	177	125	1143	134	336	103	271	20155	278	152	668	139	1422	65	261	214	158	1311	54	37	151	131	419	348	23666	190	57	505	137	121	147	97	239	2636	114	141	312	596	403	214	362	429	597	373	105	91	63	263	133	14819	166	162	102	757	183
35	122	327	308	229	115	1676	975	388	118	228	1920	191	239	163	289	341	164	210	437	286	144	166	93	152	151	339	241	260	119	944	574	140	125	163	150	618	230	432	89	85	72	366	184	135	174	866	809	350	161	335	142	168	140	267	140	301	2062	379	326	302	934	364	176	586	216	202	415	1960	978	377	221	463	92	93	305	138	143	277	431	974	221	629	320	716	157	185	390	401	117	128	364	606
36	237	58	579	1317	97	3612	292	80	61	282	191	102	216	86	93	61	270	153	194	48	25	228	47	79	223	249	77	271	1402	64	89	232	38	72	221	41	139	4052	50	68	17093	425	551	450	173	4643	151	286	38	194	31	103	95	25	87	105	35	41	72	424	5214	36	27	68	117	33	87	101	558	275	209	5966	852	59	40	111	220	247	381	2936	106	65	16	3497	254	1066	526	47	33	73	900	137
37	51	90	99	125	20	110	3827	8	42	203	337	28	27	38	7	34	27	14	13	75	51	8852	3550	45	38	82	20	44	52	21	280	78	67	49	38	2923	57	52	20	203	54	33	28	38	5667	116	20	62	47	39	470	116	9	50	375	27	12	51	15	69	170	29	59	5	35	92	127	31	90	19	40	51	75	90	18	165	32	65	97	56	155	26	32	37	85	32	90	94	39	41	50	46
38	19	120	51	364	55	76	68	119	20	14	116	151	108	34	107	104	99	42	206	23	27	12	54	29	101	468	21	127	25	122	108	42	132	79	85	31	43	52	239	38	6	221	25	18	65	45	26	30	45	164	17	94	52	128	446	108	64	602	69	114	146	344	102	34	88	27	92	51	87	73	197	19	74	483	95	543	41	170	191	119	382	57	513	172	136	419	58	113	56	2639	34	84
39	114	1856	1385	2642	62	1790	631	226	96	138	491	2268	177	1156	1473	1746	158	155	1440	148	536	458	595	74	3560	785	48	175	1354	1581	563	103	382	1817	697	241	149	1033	55	88	1126	522	126	185	142	1048	1478	351	160	5168	82	105	93	4559	1456	129	322	4411	2085	110	1862	3121	1367	192	115	51	3470	640	9337	197	1536	828	298	445	721	366	1360	285	226	2880	3059	119	692	1507	82	1283	190	406	4681	109	70	189
40	3506	6744	23070	18831	6495	17468	16924	19946	12612	3977	15023	15705	13638	7567	14957	12045	6923	10540	22083	5093	3971	6755	10276	9538	12265	7065	4155	26122	4432	10265	6707	6848	15040	8843	11664	4992	3175	17888	2676	2944	2372	24712	11233	6495	5575	11460	16834	4784	6469	11165	4575	14118	16726	17342	2674	14255	8018	2294	25785	23117	16840	15890	22832	12373	14406	4943	13110	10543	3981	7138	23260	6451	4617	17923	9676	48600	23057	35182	18647	15444	10431	19027	4578	12499	5086	12579	22971	9135	9232	4123	11385	17134
41	1923	2703	9524	10883	2926	6436	9902	7992	3862	2046	8632	4075	5396	3410	5936	8611	3562	6172	7705	1901	3569	3618	2959	2922	5072	3224	2572	7811	2720	4307	6622	2740	2662	3568	5405	2822	3402	7351	3506	3129	1268	6975	5280	2665	2307	5098	5115	4073	3131	7591	3138	4809	4413	9455	1939	4344	6000	4478	11929	7908	14249	6898	4605	6071	5022	2261	7965	8391	3576	3652	8409	3875	2550	3211	4089	5224	4609	8767	17311	8590	2377	4033	2296	9671	6102	7248	6414	3052	8625	2111	6019	5054
42	1760	8960	12658	6513	1082	13253	10218	11439	1629	1926	10253	2038	3482	1809	6415	2755	5470	7952	15797	8371	2162	4967	12623	2104	6566	3402	4614	14984	1210	9256	9442	2239	3631	5612	8384	3082	3664	9381	854	924	1024	6409	7252	2479	1561	6677	5599	8005	3811	7177	1379	3233	8283	2223	1149	12847	8548	1707	11939	20058	13032	6410	10807	14745	3148	4461	2627	11883	1743	1945	11303	3627	2090	1751	3513	11614	19671	5741	2130	14564	1346	13065	2462	9372	8034	1204	18481	9839	1195	1238	11393	3787
43	8	2	6	7	15	2	6	5	1	9	1	2	11	13	3	12	0	8	8	19	1	247	347	4	15	5	2	1	0	1987	846	3	4	21	0	17	4	2	2	9	1	7	1	1	1	11	15	0	4	6	8	16	9	16	2	11	0	3	12	10	8	3	5	3	1	6	7	4	6	10	8	2	4	17	1	3	16	10	5	1	16	2	1	3	12	0	2	2	7	31	3	25
