rab.all	rab.win.0	rab.win.1	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
585	-2.59157103950062	-2.1815116383547	-3.13375397323501	-1.09309856631558	2.36071793017752	-7.47055521699692	2.71051777655518	0.326566344959027	7.62913380939935	-0.36219383573953	-9.30503438690784	1.99481130748975	0.317738857980427	0.170344932652987	0.817532054279516	0.262269327894328	0.910652379052824
457	-1.81470167514528	-1.49471995439526	-5.37782316562655	-2.29566619278109	5.4947516757786	-11.3652344691922	10.441303597066	0.279013577109632	14.126807177849	-0.358080872121067	-15.7902975921748	5.13249322684704	0.349609427563166	0.361335272500448	0.873266948140364	0.393440413752914	0.943516759818976
197	-5.68460816705598	-3.74764772209812	-6.06335092052088	-1.85502313398011	4.35687772809579	-9.44287131971887	7.48114690372974	0.691986255866129	13.4225345525831	-0.350763666102242	-5.99670734050499	3.1847678710318	0.343079977145353	0.365032233895516	0.870568436149139	0.355925844988345	0.926978134227123
25	3.9518667705518	4.36572632748017	3.71427750866267	-0.520258744735937	1.43149604952707	-2.76283457975669	2.13225594468484	0.124434180229505	3.00443535128599	-0.3503803138787	-6.75749195031116	4.46728627802835	0.396484409380287	0.4271062975056	0.910042777814136	0.533710907148407	0.960472140012087
936	-0.147919186519954	-0.488363296686501	0.255242581092092	0.916509646972733	1.93969625995187	-2.83564049639891	6.73866793826894	0.25889844578323	6.45102169501309	0.346076993819426	-2.90711519033383	7.10459247191008	0.315789541175888	0.198381148065116	0.835163389214086	0.255146416083916	0.929074430010587
319	1.37650869178783	1.33295705294991	1.03125081785594	-0.557846849332131	1.61651636895578	-3.00625553800281	1.80508297558103	0.203509696874418	3.07816185589918	-0.336085135654445	-5.99885370511241	2.49117810626299	0.346978610966909	0.350021607400716	0.895945147311683	0.386970668220668	0.951219883823051
42	2.28635823288043	2.8081000687382	1.99602669856873	-0.453218698163194	1.62260632802798	-3.15866649433425	3.00339403695147	0.166244832053297	3.48723748044481	-0.33549222308175	-4.41538798347539	3.16308613597324	0.365234421196834	0.449493224316532	0.913296021135339	0.439739947552447	0.955697032026765
28	1.69571431082076	1.38859137400757	1.99702199746498	0.3759195008125	1.1965359317149	-1.61564231764166	2.96045985197982	0.132603886238862	3.47723956893525	0.330308912572026	-2.10722315381541	5.84406677347109	0.333333392705719	0.274659712373385	0.867093246312691	0.297838966588967	0.938073944612202
108	-0.701605010344057	-0.469049711842032	-1.19019148781461	-0.695167009967008	2.02535400817913	-3.98043290253841	3.80273222069648	0.255752672036554	5.88650940174006	-0.328100915159629	-6.14613324029494	3.75197155777342	0.371093793895759	0.564262548152891	0.923308618662856	0.41909965034965	0.951841178792119
289	1.16794198378502	1.39757179347788	0.85856089900946	-0.557752271643458	1.74535723438155	-3.49772307297527	2.43995382291989	0.203135402309611	3.86200093773823	-0.327583174375772	-5.45734203395411	2.40527381041954	0.355468800134243	0.34492437533113	0.89357435782773	0.335303758741259	0.947027694054857
1494	0.0437999647995415	0.767025463425758	0.21259091241975	-0.853112046598692	2.01267453012769	-4.26106337568384	2.40224889351937	0.232150542084124	4.60373706500901	-0.324058796539056	-7.27617964751195	3.09319798044262	0.421052657217034	0.285112216810766	0.87207766927435	0.620613587801088	0.969815439331848
77	1.01992241372833	0.551873425116711	1.42886070698124	0.742030370630281	2.77618357843744	-4.45231793386889	4.81515923958064	0.172487849405516	5.42530855109088	0.317648029027202	-3.58195211472059	8.39741586221496	0.313840224379962	0.44068684698519	0.911962327542371	0.259578962703963	0.937342472485234
78	-3.78849607938319	-3.82937684986323	-7.12235999050632	-2.07675807565732	5.59347764542058	-11.5684928307473	10.6194956879726	0.790717377779559	15.2580264775481	-0.316868587556366	-5.40816995796418	3.83550469702914	0.353515675938102	0.442108104267083	0.892258764927172	0.443448912198912	0.947264298232924
72	2.17771199949852	1.90511567652626	3.06551083073177	0.748537144845788	2.59153726555669	-3.21896613056155	4.7957131414604	0.339206408981314	4.85658469263522	0.316349582834091	-2.50952141343524	6.38113009595257	0.352826561744831	0.269306205230006	0.870174421819724	0.31657196969697	0.946073661083992
